lemma,pos,genus,genus 1,genus 2,genus 3,genus 4,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Müllschiff,Substantiv,n,,,,,Müllschiff,,,,,,,,,Müllschiffe,,,,,,,,,Müllschiffes,Müllschiffs,,,,,,,,Müllschiffe,,,,,,,,,Müllschiff,Müllschiffe,,,,,,,,Müllschiffen,,,,,,,,,Müllschiff,,,,,,,,,Müllschiffe,,,,,,,,
Müllschippe,Substantiv,f,,,,,Müllschippe,,,,,,,,,Müllschippen,,,,,,,,,Müllschippe,,,,,,,,,Müllschippen,,,,,,,,,Müllschippe,,,,,,,,,Müllschippen,,,,,,,,,Müllschippe,,,,,,,,,Müllschippen,,,,,,,,
Müllschlucker,Substantiv,m,,,,,Müllschlucker,,,,,,,,,Müllschlucker,,,,,,,,,Müllschluckers,,,,,,,,,Müllschlucker,,,,,,,,,Müllschlucker,,,,,,,,,Müllschluckern,,,,,,,,,Müllschlucker,,,,,,,,,Müllschlucker,,,,,,,,
Müllsortieranlage,Substantiv,f,,,,,Müllsortieranlage,,,,,,,,,Müllsortieranlagen,,,,,,,,,Müllsortieranlage,,,,,,,,,Müllsortieranlagen,,,,,,,,,Müllsortieranlage,,,,,,,,,Müllsortieranlagen,,,,,,,,,Müllsortieranlage,,,,,,,,,Müllsortieranlagen,,,,,,,,
Müllsortierung,Substantiv,f,,,,,Müllsortierung,,,,,,,,,Müllsortierungen,,,,,,,,,Müllsortierung,,,,,,,,,Müllsortierungen,,,,,,,,,Müllsortierung,,,,,,,,,Müllsortierungen,,,,,,,,,Müllsortierung,,,,,,,,,Müllsortierungen,,,,,,,,
Müllsucher,Substantiv,m,,,,,Müllsucher,,,,,,,,,Müllsucher,,,,,,,,,Müllsuchers,,,,,,,,,Müllsucher,,,,,,,,,Müllsucher,,,,,,,,,Müllsuchern,,,,,,,,,Müllsucher,,,,,,,,,Müllsucher,,,,,,,,
Mülltonne,Substantiv,f,,,,,Mülltonne,,,,,,,,,Mülltonnen,,,,,,,,,Mülltonne,,,,,,,,,Mülltonnen,,,,,,,,,Mülltonne,,,,,,,,,Mülltonnen,,,,,,,,,Mülltonne,,,,,,,,,Mülltonnen,,,,,,,,
Mülltransport,Substantiv,m,,,,,Mülltransport,,,,,,,,,Mülltransporte,,,,,,,,,Mülltransportes,Mülltransports,,,,,,,,Mülltransporte,,,,,,,,,Mülltransport,Mülltransporte,,,,,,,,Mülltransporten,,,,,,,,,Mülltransport,,,,,,,,,Mülltransporte,,,,,,,,
Mülltrennung,Substantiv,f,,,,,Mülltrennung,,,,,,,,,,,,,,,,,,Mülltrennung,,,,,,,,,,,,,,,,,,Mülltrennung,,,,,,,,,,,,,,,,,,Mülltrennung,,,,,,,,,,,,,,,,,
Mülltüte,Substantiv,f,,,,,Mülltüte,,,,,,,,,Mülltüten,,,,,,,,,Mülltüte,,,,,,,,,Mülltüten,,,,,,,,,Mülltüte,,,,,,,,,Mülltüten,,,,,,,,,Mülltüte,,,,,,,,,Mülltüten,,,,,,,,
Müllverbrennung,Substantiv,f,,,,,Müllverbrennung,,,,,,,,,,,,,,,,,,Müllverbrennung,,,,,,,,,,,,,,,,,,Müllverbrennung,,,,,,,,,,,,,,,,,,Müllverbrennung,,,,,,,,,,,,,,,,,
Müllverbrennungsanlage,Substantiv,f,,,,,Müllverbrennungsanlage,,,,,,,,,Müllverbrennungsanlagen,,,,,,,,,Müllverbrennungsanlage,,,,,,,,,Müllverbrennungsanlagen,,,,,,,,,Müllverbrennungsanlage,,,,,,,,,Müllverbrennungsanlagen,,,,,,,,,Müllverbrennungsanlage,,,,,,,,,Müllverbrennungsanlagen,,,,,,,,
Müllverdichter,Substantiv,m,,,,,Müllverdichter,,,,,,,,,Müllverdichter,,,,,,,,,Müllverdichters,,,,,,,,,Müllverdichter,,,,,,,,,Müllverdichter,,,,,,,,,Müllverdichtern,,,,,,,,,Müllverdichter,,,,,,,,,Müllverdichter,,,,,,,,
Müllvermeidung,Substantiv,f,,,,,Müllvermeidung,,,,,,,,,Müllvermeidungen,,,,,,,,,Müllvermeidung,,,,,,,,,Müllvermeidungen,,,,,,,,,Müllvermeidung,,,,,,,,,Müllvermeidungen,,,,,,,,,Müllvermeidung,,,,,,,,,Müllvermeidungen,,,,,,,,
Müllverschmutzung,Substantiv,f,,,,,Müllverschmutzung,,,,,,,,,Müllverschmutzungen,,,,,,,,,Müllverschmutzung,,,,,,,,,Müllverschmutzungen,,,,,,,,,Müllverschmutzung,,,,,,,,,Müllverschmutzungen,,,,,,,,,Müllverschmutzung,,,,,,,,,Müllverschmutzungen,,,,,,,,
Müllverursacher,Substantiv,m,,,,,Müllverursacher,,,,,,,,,Müllverursacher,,,,,,,,,Müllverursachers,,,,,,,,,Müllverursacher,,,,,,,,,Müllverursacher,,,,,,,,,Müllverursachern,,,,,,,,,Müllverursacher,,,,,,,,,Müllverursacher,,,,,,,,
Müllverwertung,Substantiv,f,,,,,Müllverwertung,,,,,,,,,Müllverwertungen,,,,,,,,,Müllverwertung,,,,,,,,,Müllverwertungen,,,,,,,,,Müllverwertung,,,,,,,,,Müllverwertungen,,,,,,,,,Müllverwertung,,,,,,,,,Müllverwertungen,,,,,,,,
Müllwaage,Substantiv,f,,,,,Müllwaage,,,,,,,,,Müllwaagen,,,,,,,,,Müllwaage,,,,,,,,,Müllwaagen,,,,,,,,,Müllwaage,,,,,,,,,Müllwaagen,,,,,,,,,Müllwaage,,,,,,,,,Müllwaagen,,,,,,,,
Müllwagen,Substantiv,m,,,,,Müllwagen,,,,,,,,,,,Müllwagen,Müllwägen,,,,,,Müllwagens,,,,,,,,,,,Müllwagen,Müllwägen,,,,,,Müllwagen,,,,,,,,,,,Müllwagen,Müllwägen,,,,,,Müllwagen,,,,,,,,,,,Müllwagen,Müllwägen,,,,,
Müllwerker,Substantiv,m,,,,,Müllwerker,,,,,,,,,Müllwerker,,,,,,,,,Müllwerkers,,,,,,,,,Müllwerker,,,,,,,,,Müllwerker,,,,,,,,,Müllwerkern,,,,,,,,,Müllwerker,,,,,,,,,Müllwerker,,,,,,,,
Müllwerkerin,Substantiv,f,,,,,Müllwerkerin,,,,,,,,,Müllwerkerinnen,,,,,,,,,Müllwerkerin,,,,,,,,,Müllwerkerinnen,,,,,,,,,Müllwerkerin,,,,,,,,,Müllwerkerinnen,,,,,,,,,Müllwerkerin,,,,,,,,,Müllwerkerinnen,,,,,,,,
Müllzug,Substantiv,m,,,,,Müllzug,,,,,,,,,Müllzüge,,,,,,,,,Müllzugs,Müllzuges,,,,,,,,Müllzüge,,,,,,,,,Müllzug,Müllzuge,,,,,,,,Müllzügen,,,,,,,,,Müllzug,,,,,,,,,Müllzüge,,,,,,,,
Mümmelgreis,Substantiv,m,,,,,Mümmelgreis,,,,,,,,,Mümmelgreise,,,,,,,,,Mümmelgreises,,,,,,,,,Mümmelgreise,,,,,,,,,Mümmelgreis,,,,,,,,,Mümmelgreisen,,,,,,,,,Mümmelgreis,,,,,,,,,Mümmelgreise,,,,,,,,
Mümmelmann,Substantiv,m,,,,,Mümmelmann,,,,,,,,,Mümmelmänner,,,,,,,,,Mümmelmanns,Mümmelmannes,,,,,,,,Mümmelmänner,,,,,,,,,Mümmelmann,Mümmelmanne,,,,,,,,Mümmelmännern,,,,,,,,,Mümmelmann,,,,,,,,,Mümmelmänner,,,,,,,,
Münchberg,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Müncheberg,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
München,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
München,"Nachname,Substantiv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münchenbernsdorf,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münchendorf,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münchener,Substantiv,m,,,,,Münchener,,,,,,,,,Münchener,,,,,,,,,Müncheners,,,,,,,,,Münchener,,,,,,,,,Münchener,,,,,,,,,Münchenern,,,,,,,,,Münchener,,,,,,,,,Münchener,,,,,,,,
Münchenerin,Substantiv,f,,,,,Münchenerin,,,,,,,,,Münchenerinnen,,,,,,,,,Münchenerin,,,,,,,,,Münchenerinnen,,,,,,,,,Münchenerin,,,,,,,,,Münchenerinnen,,,,,,,,,Münchenerin,,,,,,,,,Münchenerinnen,,,,,,,,
Münchner,Substantiv,m,,,,,Münchner,,,,,,,,,Münchner,,,,,,,,,Münchners,,,,,,,,,Münchner,,,,,,,,,Münchner,,,,,,,,,Münchnern,,,,,,,,,Münchner,,,,,,,,,Münchner,,,,,,,,
Münchner Abkommen,"Substantiv,Wortverbindung",n,,,,,Münchner Abkommen,,,,,,,,,,,,,,,,,,Münchner Abkommens,,,,,,,,,,,,,,,,,,Münchner Abkommen,,,,,,,,,,,,,,,,,,Münchner Abkommen,,,,,,,,,,,,,,,,,
Münchnerin,Substantiv,f,,,,,Münchnerin,,,,,,,,,Münchnerinnen,,,,,,,,,Münchnerin,,,,,,,,,Münchnerinnen,,,,,,,,,Münchnerin,,,,,,,,,Münchnerinnen,,,,,,,,,Münchnerin,,,,,,,,,Münchnerinnen,,,,,,,,
Mündchen,Substantiv,n,,,,,Mündchen,,,,,,,,,Mündchen,,,,,,,,,Mündchens,,,,,,,,,Mündchen,,,,,,,,,Mündchen,,,,,,,,,Mündchen,,,,,,,,,Mündchen,,,,,,,,,Mündchen,,,,,,,,
Mündel,Substantiv,,m,n,f,,,,Mündel,Mündel,Mündel,,,,,,,Mündel,Mündel,Mündeln,,,,,,,Mündels,Mündels,Mündel,,,,,,,Mündel,Mündel,Mündeln,,,,,,,Mündel,Mündel,Mündel,,,,,,,Mündeln,Mündeln,Mündeln,,,,,,,Mündel,Mündel,Mündel,,,,,,,Mündel,Mündel,Mündeln,,,,
Mündelgeld,Substantiv,n,,,,,Mündelgeld,,,,,,,,,Mündelgelder,,,,,,,,,Mündelgelds,Mündelgeldes,,,,,,,,Mündelgelder,,,,,,,,,Mündelgeld,Mündelgelde,,,,,,,,Mündelgeldern,,,,,,,,,Mündelgeld,,,,,,,,,Mündelgelder,,,,,,,,
Mündigkeit,Substantiv,f,,,,,Mündigkeit,,,,,,,,,,,,,,,,,,Mündigkeit,,,,,,,,,,,,,,,,,,Mündigkeit,,,,,,,,,,,,,,,,,,Mündigkeit,,,,,,,,,,,,,,,,,
Mündlichkeit,Substantiv,f,,,,,Mündlichkeit,,,,,,,,,,,,,,,,,,Mündlichkeit,,,,,,,,,,,,,,,,,,Mündlichkeit,,,,,,,,,,,,,,,,,,Mündlichkeit,,,,,,,,,,,,,,,,,
Mündung,Substantiv,f,,,,,Mündung,,,,,,,,,Mündungen,,,,,,,,,Mündung,,,,,,,,,Mündungen,,,,,,,,,Mündung,,,,,,,,,Mündungen,,,,,,,,,Mündung,,,,,,,,,Mündungen,,,,,,,,
Mündungsfeuer,Substantiv,n,,,,,Mündungsfeuer,,,,,,,,,Mündungsfeuer,,,,,,,,,Mündungsfeuers,,,,,,,,,Mündungsfeuer,,,,,,,,,Mündungsfeuer,,,,,,,,,Mündungsfeuern,,,,,,,,,Mündungsfeuer,,,,,,,,,Mündungsfeuer,,,,,,,,
Mündungsgeschwindigkeit,Substantiv,f,,,,,Mündungsgeschwindigkeit,,,,,,,,,Mündungsgeschwindigkeiten,,,,,,,,,Mündungsgeschwindigkeit,,,,,,,,,Mündungsgeschwindigkeiten,,,,,,,,,Mündungsgeschwindigkeit,,,,,,,,,Mündungsgeschwindigkeiten,,,,,,,,,Mündungsgeschwindigkeit,,,,,,,,,Mündungsgeschwindigkeiten,,,,,,,,
Münnerstadt,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münsingen,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münster,Substantiv,,n,m,,,,,Münster,Münster,,,,,,Münster,,,,,,,,,,,Münsters,Münsters,,,,,,Münster,,,,,,,,,,,Münster,Münster,,,,,,Münstern,,,,,,,,,,,Münster,Münster,,,,,,Münster,,,,,,,,
Münster,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münster,"Nachname,Substantiv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münsteraner,Substantiv,m,,,,,Münsteraner,,,,,,,,,Münsteraner,,,,,,,,,Münsteraners,,,,,,,,,Münsteraner,,,,,,,,,Münsteraner,,,,,,,,,Münsteranern,,,,,,,,,Münsteraner,,,,,,,,,Münsteraner,,,,,,,,
Münsteranerin,Substantiv,f,,,,,Münsteranerin,,,,,,,,,Münsteranerinnen,,,,,,,,,Münsteranerin,,,,,,,,,Münsteranerinnen,,,,,,,,,Münsteranerin,,,,,,,,,Münsteranerinnen,,,,,,,,,Münsteranerin,,,,,,,,,Münsteranerinnen,,,,,,,,
Münsterland,"Substantiv,Toponym",n,,,,,Münsterland,,,,,,,,,,,,,,,,,,Münsterlands,Münsterlandes,,,,,,,,,,,,,,,,,Münsterland,Münsterlande,,,,,,,,,,,,,,,,,Münsterland,,,,,,,,,,,,,,,,,
Münstermaifeld,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Müntefering,"Nachname,Substantiv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münz,Substantiv,n,,,,,Münz,,,,,,,,,,,,,,,,,,Münzes,,,,,,,,,,,,,,,,,,Münz,,,,,,,,,,,,,,,,,,Münz,,,,,,,,,,,,,,,,,
Münzamt,Substantiv,n,,,,,Münzamt,,,,,,,,,Münzämter,,,,,,,,,Münzamtes,Münzamts,,,,,,,,Münzämter,,,,,,,,,Münzamt,Münzamte,,,,,,,,Münzämtern,,,,,,,,,Münzamt,,,,,,,,,Münzämter,,,,,,,,
Münzbesitzer,Substantiv,m,,,,,Münzbesitzer,,,,,,,,,Münzbesitzer,,,,,,,,,Münzbesitzers,,,,,,,,,Münzbesitzer,,,,,,,,,Münzbesitzer,,,,,,,,,Münzbesitzern,,,,,,,,,Münzbesitzer,,,,,,,,,Münzbesitzer,,,,,,,,
Münzdelikt,Substantiv,n,,,,,Münzdelikt,,,,,,,,,Münzdelikte,,,,,,,,,Münzdelikts,Münzdeliktes,,,,,,,,Münzdelikte,,,,,,,,,Münzdelikt,Münzdelikte,,,,,,,,Münzdelikten,,,,,,,,,Münzdelikt,,,,,,,,,Münzdelikte,,,,,,,,
Münze,Substantiv,f,,,,,Münze,,,,,,,,,Münzen,,,,,,,,,Münze,,,,,,,,,Münzen,,,,,,,,,Münze,,,,,,,,,Münzen,,,,,,,,,Münze,,,,,,,,,Münzen,,,,,,,,
Münzenberg,"Substantiv,Toponym",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münzfernrohr,Substantiv,n,,,,,Münzfernrohr,,,,,,,,,Münzfernrohre,,,,,,,,,Münzfernrohrs,Münzfernrohres,,,,,,,,Münzfernrohre,,,,,,,,,Münzfernrohr,,,,,,,,,Münzfernrohren,,,,,,,,,Münzfernrohr,,,,,,,,,Münzfernrohre,,,,,,,,
Münzfernsprecher,Substantiv,m,,,,,Münzfernsprecher,,,,,,,,,Münzfernsprecher,,,,,,,,,Münzfernsprechers,,,,,,,,,Münzfernsprecher,,,,,,,,,Münzfernsprecher,,,,,,,,,Münzfernsprechern,,,,,,,,,Münzfernsprecher,,,,,,,,,Münzfernsprecher,,,,,,,,
Münzfund,Substantiv,m,,,,,Münzfund,,,,,,,,,Münzfunde,,,,,,,,,Münzfunds,Münzfundes,,,,,,,,Münzfunde,,,,,,,,,Münzfund,Münzfunde,,,,,,,,Münzfunden,,,,,,,,,Münzfund,,,,,,,,,Münzfunde,,,,,,,,
Münzfuß,Substantiv,m,,,,,Münzfuß,,,,,,,,,Münzfüße,,,,,,,,,Münzfußes,,,,,,,,,Münzfüße,,,,,,,,,Münzfuß,,,,,,,,,Münzfüßen,,,,,,,,,Münzfuß,,,,,,,,,Münzfüße,,,,,,,,
Münzherr,Substantiv,,m,m,,,,,Münzherr,Münzherr,,,,,,,,Münzherren,Münzherrn,,,,,,,,Münzherrn,Münzherren,,,,,,,,Münzherren,Münzherrn,,,,,,,,Münzherrn,Münzherren,,,,,,,,Münzherren,Münzherrn,,,,,,,,Münzherrn,Münzherren,,,,,,,,Münzherren,Münzherrn,,,,,
Münzhoheit,Substantiv,f,,,,,Münzhoheit,,,,,,,,,Münzhoheiten,,,,,,,,,Münzhoheit,,,,,,,,,Münzhoheiten,,,,,,,,,Münzhoheit,,,,,,,,,Münzhoheiten,,,,,,,,,Münzhoheit,,,,,,,,,Münzhoheiten,,,,,,,,
Münzhändler,Substantiv,m,,,,,Münzhändler,,,,,,,,,Münzhändler,,,,,,,,,Münzhändlers,,,,,,,,,Münzhändler,,,,,,,,,Münzhändler,,,,,,,,,Münzhändlern,,,,,,,,,Münzhändler,,,,,,,,,Münzhändler,,,,,,,,
Münzhändlerin,Substantiv,f,,,,,Münzhändlerin,,,,,,,,,Münzhändlerinnen,,,,,,,,,Münzhändlerin,,,,,,,,,Münzhändlerinnen,,,,,,,,,Münzhändlerin,,,,,,,,,Münzhändlerinnen,,,,,,,,,Münzhändlerin,,,,,,,,,Münzhändlerinnen,,,,,,,,
Münzkunde,Substantiv,f,,,,,Münzkunde,,,,,,,,,,,,,,,,,,Münzkunde,,,,,,,,,,,,,,,,,,Münzkunde,,,,,,,,,,,,,,,,,,Münzkunde,,,,,,,,,,,,,,,,,
Münzproduktion,Substantiv,f,,,,,Münzproduktion,,,,,,,,,Münzproduktionen,,,,,,,,,Münzproduktion,,,,,,,,,Münzproduktionen,,,,,,,,,Münzproduktion,,,,,,,,,Münzproduktionen,,,,,,,,,Münzproduktion,,,,,,,,,Münzproduktionen,,,,,,,,
Münzprägung,Substantiv,f,,,,,Münzprägung,,,,,,,,,Münzprägungen,,,,,,,,,Münzprägung,,,,,,,,,Münzprägungen,,,,,,,,,Münzprägung,,,,,,,,,Münzprägungen,,,,,,,,,Münzprägung,,,,,,,,,Münzprägungen,,,,,,,,
Münzrecht,Substantiv,n,,,,,Münzrecht,,,,,,,,,Münzrechte,,,,,,,,,Münzrechts,Münzrechtes,,,,,,,,Münzrechte,,,,,,,,,Münzrecht,,,,,,,,,Münzrechten,,,,,,,,,Münzrecht,,,,,,,,,Münzrechte,,,,,,,,
Münzreform,Substantiv,f,,,,,Münzreform,,,,,,,,,Münzreformen,,,,,,,,,Münzreform,,,,,,,,,Münzreformen,,,,,,,,,Münzreform,,,,,,,,,Münzreformen,,,,,,,,,Münzreform,,,,,,,,,Münzreformen,,,,,,,,
Münzrolle,Substantiv,f,,,,,Münzrolle,,,,,,,,,Münzrollen,,,,,,,,,Münzrolle,,,,,,,,,Münzrollen,,,,,,,,,Münzrolle,,,,,,,,,Münzrollen,,,,,,,,,Münzrolle,,,,,,,,,Münzrollen,,,,,,,,
Münzsammler,Substantiv,m,,,,,Münzsammler,,,,,,,,,Münzsammler,,,,,,,,,Münzsammlers,,,,,,,,,Münzsammler,,,,,,,,,Münzsammler,,,,,,,,,Münzsammlern,,,,,,,,,Münzsammler,,,,,,,,,Münzsammler,,,,,,,,
Münzsammlerin,Substantiv,f,,,,,Münzsammlerin,,,,,,,,,Münzsammlerinnen,,,,,,,,,Münzsammlerin,,,,,,,,,Münzsammlerinnen,,,,,,,,,Münzsammlerin,,,,,,,,,Münzsammlerinnen,,,,,,,,,Münzsammlerin,,,,,,,,,Münzsammlerinnen,,,,,,,,
Münzstätte,Substantiv,f,,,,,Münzstätte,,,,,,,,,Münzstätten,,,,,,,,,Münzstätte,,,,,,,,,Münzstätten,,,,,,,,,Münzstätte,,,,,,,,,Münzstätten,,,,,,,,,Münzstätte,,,,,,,,,Münzstätten,,,,,,,,
Münztelefon,Substantiv,n,,,,,Münztelefon,,,,,,,,,Münztelefone,,,,,,,,,Münztelefons,,,,,,,,,Münztelefone,,,,,,,,,Münztelefon,,,,,,,,,Münztelefonen,,,,,,,,,Münztelefon,,,,,,,,,Münztelefone,,,,,,,,
Münzverbrechen,Substantiv,n,,,,,Münzverbrechen,,,,,,,,,Münzverbrechen,,,,,,,,,Münzverbrechens,,,,,,,,,Münzverbrechen,,,,,,,,,Münzverbrechen,,,,,,,,,Münzverbrechen,,,,,,,,,Münzverbrechen,,,,,,,,,Münzverbrechen,,,,,,,,
Münzvergehen,Substantiv,n,,,,,Münzvergehen,,,,,,,,,Münzvergehen,,,,,,,,,Münzvergehens,,,,,,,,,Münzvergehen,,,,,,,,,Münzvergehen,,,,,,,,,Münzvergehen,,,,,,,,,Münzvergehen,,,,,,,,,Münzvergehen,,,,,,,,
Münzverrufung,Substantiv,f,,,,,Münzverrufung,,,,,,,,,Münzverrufungen,,,,,,,,,Münzverrufung,,,,,,,,,Münzverrufungen,,,,,,,,,Münzverrufung,,,,,,,,,Münzverrufungen,,,,,,,,,Münzverrufung,,,,,,,,,Münzverrufungen,,,,,,,,
Münzwardein,Substantiv,m,,,,,Münzwardein,,,,,,,,,Münzwardeine,,,,,,,,,Münzwardeines,Münzwardeins,,,,,,,,Münzwardeine,,,,,,,,,Münzwardein,Münzwardeine,,,,,,,,Münzwardeinen,,,,,,,,,Münzwardein,,,,,,,,,Münzwardeine,,,,,,,,
Münzwechselautomat,Substantiv,m,,,,,Münzwechselautomat,,,,,,,,,Münzwechselautomaten,,,,,,,,,Münzwechselautomaten,,,,,,,,,Münzwechselautomaten,,,,,,,,,Münzwechselautomaten,,,,,,,,,Münzwechselautomaten,,,,,,,,,Münzwechselautomaten,,,,,,,,,Münzwechselautomaten,,,,,,,,
Münzwert,Substantiv,m,,,,,Münzwert,,,,,,,,,Münzwerte,,,,,,,,,Münzwerts,Münzwertes,,,,,,,,Münzwerte,,,,,,,,,Münzwert,Münzwerte,,,,,,,,Münzwerten,,,,,,,,,Münzwert,,,,,,,,,Münzwerte,,,,,,,,
Münzwesen,Substantiv,n,,,,,Münzwesen,,,,,,,,,,,,,,,,,,Münzwesens,,,,,,,,,,,,,,,,,,Münzwesen,,,,,,,,,,,,,,,,,,Münzwesen,,,,,,,,,,,,,,,,,
Mürbekuchen,Substantiv,m,,,,,Mürbekuchen,,,,,,,,,Mürbekuchen,,,,,,,,,Mürbekuchens,,,,,,,,,Mürbekuchen,,,,,,,,,Mürbekuchen,,,,,,,,,Mürbekuchen,,,,,,,,,Mürbekuchen,,,,,,,,,Mürbekuchen,,,,,,,,
Mürbeteig,Substantiv,m,,,,,Mürbeteig,,,,,,,,,Mürbeteige,,,,,,,,,Mürbeteigs,Mürbeteiges,,,,,,,,Mürbeteige,,,,,,,,,Mürbeteig,,,,,,,,,Mürbeteigen,,,,,,,,,Mürbeteig,,,,,,,,,Mürbeteige,,,,,,,,
Mürbkuchen,Substantiv,m,,,,,Mürbkuchen,,,,,,,,,Mürbkuchen,,,,,,,,,Mürbkuchens,,,,,,,,,Mürbkuchen,,,,,,,,,Mürbkuchen,,,,,,,,,Mürbkuchen,,,,,,,,,Mürbkuchen,,,,,,,,,Mürbkuchen,,,,,,,,
Mürbteig,Substantiv,m,,,,,Mürbteig,,,,,,,,,Mürbteige,,,,,,,,,Mürbteigs,Mürbteiges,,,,,,,,Mürbteige,,,,,,,,,Mürbteig,,,,,,,,,Mürbteigen,,,,,,,,,Mürbteig,,,,,,,,,Mürbteige,,,,,,,,
Mürz,"Substantiv,Toponym",f,,,,,Mürz,,,,,,,,,,,,,,,,,,Mürz,,,,,,,,,,,,,,,,,,Mürz,,,,,,,,,,,,,,,,,,Mürz,,,,,,,,,,,,,,,,,
Müsli,Substantiv,n,,,,,Müsli,,,,,,,,,,,Müsli,Müslis,,,,,,Müsli,Müslis,,,,,,,,,,Müsli,Müslis,,,,,,Müsli,,,,,,,,,,,Müsli,Müslis,,,,,,Müsli,,,,,,,,,,,Müsli,Müslis,,,,,
Müsliriegel,Substantiv,m,,,,,Müsliriegel,,,,,,,,,Müsliriegel,,,,,,,,,Müsliriegels,,,,,,,,,Müsliriegel,,,,,,,,,Müsliriegel,,,,,,,,,Müsliriegeln,,,,,,,,,Müsliriegel,,,,,,,,,Müsliriegel,,,,,,,,
Müslischüssel,Substantiv,f,,,,,Müslischüssel,,,,,,,,,Müslischüsseln,,,,,,,,,Müslischüssel,,,,,,,,,Müslischüsseln,,,,,,,,,Müslischüssel,,,,,,,,,Müslischüsseln,,,,,,,,,Müslischüssel,,,,,,,,,Müslischüsseln,,,,,,,,
Mütchen,Substantiv,n,,,,,Mütchen,,,,,,,,,,,,,,,,,,Mütchens,,,,,,,,,,,,,,,,,,Mütchen,,,,,,,,,,,,,,,,,,Mütchen,,,,,,,,,,,,,,,,,
Mütterchen,Substantiv,n,,,,,Mütterchen,,,,,,,,,Mütterchen,,,,,,,,,Mütterchens,,,,,,,,,Mütterchen,,,,,,,,,Mütterchen,,,,,,,,,Mütterchen,,,,,,,,,Mütterchen,,,,,,,,,Mütterchen,,,,,,,,
