lemma,pos,genus,genus 1,genus 2,genus 3,genus 4,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
-schrecke,"Gebundenes Lexem,Substantiv",f,,,,,-schrecke,,,,,,,,,-schrecken,,,,,,,,,-schrecke,,,,,,,,,-schrecken,,,,,,,,,-schrecke,,,,,,,,,-schrecken,,,,,,,,,-schrecke,,,,,,,,,-schrecken,,,,,,,,
-skopie,"Gebundenes Lexem,Substantiv",f,,,,,-skopie,,,,,,,,,-skopien,,,,,,,,,-skopie,,,,,,,,,-skopien,,,,,,,,,-skopie,,,,,,,,,-skopien,,,,,,,,,-skopie,,,,,,,,,-skopien,,,,,,,,
-stan,"Affix,Substantiv,Suffix",,,,,,-stan,,,,,,,,,,,,,,,,,,-stan,-stans,,,,,,,,,,,,,,,,,-stan,,,,,,,,,,,,,,,,,,-stan,,,,,,,,,,,,,,,,,
-tum,"Affix,Substantiv,Suffix",,n,m,,,,,-tum,-tum,,,,,,-tümer,,,,,,,,,,,-tums,-tums,,,,,,-tümer,,,,,,,,,,,-tum,-tum,,,,,,-tümern,,,,,,,,,,,-tum,-tum,,,,,,-tümer,,,,,,,,
-ung,"Affix,Substantiv,Suffix",f,,,,,-ung,,,,,,,,,-ungen,,,,,,,,,-ung,,,,,,,,,-ungen,,,,,,,,,-ung,,,,,,,,,-ungen,,,,,,,,,-ung,,,,,,,,,-ungen,,,,,,,,
-urie,"Gebundenes Lexem,Substantiv",f,,,,,-urie,,,,,,,,,-urien,,,,,,,,,-urie,,,,,,,,,-urien,,,,,,,,,-urie,,,,,,,,,-urien,,,,,,,,,-urie,,,,,,,,,-urien,,,,,,,,
"0,2-Liter-Flasche",Substantiv,f,,,,,"0,2-Liter-Flasche",,,,,,,,,"0,2-Liter-Flaschen",,,,,,,,,"0,2-Liter-Flasche",,,,,,,,,"0,2-Liter-Flaschen",,,,,,,,,"0,2-Liter-Flasche",,,,,,,,,"0,2-Liter-Flaschen",,,,,,,,,"0,2-Liter-Flasche",,,,,,,,,"0,2-Liter-Flaschen",,,,,,,,
"0,33-Liter-Flasche",Substantiv,f,,,,,"0,33-Liter-Flasche",,,,,,,,,"0,33-Liter-Flaschen",,,,,,,,,"0,33-Liter-Flasche",,,,,,,,,"0,33-Liter-Flaschen",,,,,,,,,"0,33-Liter-Flasche",,,,,,,,,"0,33-Liter-Flaschen",,,,,,,,,"0,33-Liter-Flasche",,,,,,,,,"0,33-Liter-Flaschen",,,,,,,,
"0,5-Liter-Flasche",Substantiv,f,,,,,"0,5-Liter-Flasche",,,,,,,,,"0,5-Liter-Flaschen",,,,,,,,,"0,5-Liter-Flasche",,,,,,,,,"0,5-Liter-Flaschen",,,,,,,,,"0,5-Liter-Flasche",,,,,,,,,"0,5-Liter-Flaschen",,,,,,,,,"0,5-Liter-Flasche",,,,,,,,,"0,5-Liter-Flaschen",,,,,,,,
"0,7-Liter-Flasche",Substantiv,f,,,,,"0,7-Liter-Flasche",,,,,,,,,"0,7-Liter-Flaschen",,,,,,,,,"0,7-Liter-Flasche",,,,,,,,,"0,7-Liter-Flaschen",,,,,,,,,"0,7-Liter-Flasche",,,,,,,,,"0,7-Liter-Flaschen",,,,,,,,,"0,7-Liter-Flasche",,,,,,,,,"0,7-Liter-Flaschen",,,,,,,,
